Neighborhood,Job Openings,Agriculture Forestry Fishing and Hunting jobs,Mining Quarrying and Oil and Gas Extraction jobs,Utilities jobs,Construction jobs,Manufacturing jobs,Wholesale Trade jobs,Retail Trade jobs,Transportation and Warehousing jobs,Information jobs,Finance and Insurance jobs,Real Estate and Rental and Leasing jobs,Professional Scientific and Technical Services jobs,Management of Companies and Enterprises jobs,Administration & Support Waste Management and Remediation jobs,Educational Services jobs,Health Care and Social Assistance jobs,Arts Entertainment and Recreation jobs,Accommodation and Food Services jobs,Public Administration jobs,Other Services (excluding Public Administration) jobs,Median Salary,Location ZIP Code
Lemon Grove,18,0,0,1,1,1,1,3,0,1,0,0,2,0,0,1,2,0,2,0,0,33392.0,91945
Linda Vista,161,0,0,4,14,3,6,32,5,6,9,0,9,17,1,1,6,2,17,5,3,35479.0,92111
Logan Heights,79,0,1,0,6,1,4,13,4,6,4,1,1,11,3,0,1,0,5,2,3,44870.5,92113
Midway,11,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,35479.0,92140
Mira Mesa,110,1,1,2,15,7,12,12,7,2,2,0,10,8,1,1,4,2,5,1,3,37566.0,92126
Miramar,15,0,1,1,2,0,3,2,0,0,0,0,1,2,0,0,0,0,1,0,1,35600.0,92145
Mission Valley,259,1,3,3,12,5,11,36,1,13,20,6,7,33,3,7,7,2,31,9,6,40200.0,92108
Morena,163,0,0,1,13,1,7,19,3,14,8,1,19,20,2,1,7,1,12,4,7,37566.0,92110
National City,146,1,2,2,6,3,6,25,4,0,6,0,7,13,1,1,18,1,25,3,3,33296.0,91950
North Park,48,0,0,0,2,0,1,10,2,0,4,0,0,4,1,0,7,0,13,1,0,37733.0,92104
Ocean Beach,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,2,35479.0,92107
Oceanside,253,5,1,7,11,11,14,35,7,2,22,3,15,34,4,7,17,1,2,4,8,38910.78571428572,92054
Otay Mesa,79,0,1,1,1,11,2,5,19,6,5,1,4,6,1,0,1,0,1,2,1,44870.5,92154
"Pacific Beach, Mission Beach",72,1,1,1,7,0,1,8,0,1,1,1,3,13,0,0,3,2,8,1,3,33392.0,92109
Paradise Hills,12,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,1,0,1,0,2,33392.0,92139
Pauma Valley,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,30800.0,92061
Penasquitos,33,0,0,0,2,3,3,3,0,3,2,0,3,3,1,4,1,0,0,0,2,37566.0,92129
Point Loma,76,0,0,4,2,0,3,12,0,9,8,1,4,6,0,5,1,2,7,0,2,42214.5,92106
Poway,132,0,1,2,7,5,9,19,10,1,8,2,10,18,2,3,11,1,1,1,3,44032.25,92064
Ramona,13,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,35479.0,92065
Rancho Bernardo,186,3,2,2,8,8,7,22,8,11,12,2,21,18,3,4,8,6,5,0,5,41170.0,92127
Rancho Santa Fe,15,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,1,41740.0,92067
San Carlos,7,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,2,0,0,0,33392.0,92119
San Marcos,150,2,0,7,13,6,13,24,4,7,5,2,8,20,1,4,9,0,6,3,2,38852.666666666664,92069
San Ysidro,37,2,0,0,0,0,4,10,0,0,1,0,0,8,0,0,3,0,1,1,0,31602.5,92173
Santee,46,0,0,1,3,4,5,7,1,1,2,0,1,2,1,1,1,0,5,3,3,34296.0,92071
Scripps Ranch,56,1,1,1,4,2,4,4,1,2,11,0,0,2,1,10,0,1,6,0,3,39653.0,92131
Serra Mesa,224,1,4,10,14,10,12,28,7,24,15,5,10,23,3,2,10,0,10,8,2,41740.0,92123
Solana Beach,29,0,0,1,1,0,2,2,0,6,1,0,0,7,0,1,1,1,2,0,2,33796.0,92075
Sorrento Valley,600,2,3,9,36,61,37,109,20,31,44,2,66,67,3,4,8,2,2,20,11,52175.0,92121
Spring Valley,37,0,0,1,3,1,2,6,1,0,1,1,1,4,0,0,5,0,0,1,2,36377.166666666664,91978
Tierrasanta,5,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,30450.0,92124
University City,108,0,0,0,7,0,10,13,2,9,15,0,6,11,0,8,3,0,13,0,3,37566.0,92122
Valley Center,21,0,0,0,0,1,0,0,0,0,2,0,1,1,1,0,1,1,5,1,2,36000.0,92082
Vista,158,2,3,11,8,17,8,22,8,5,5,0,7,20,2,2,4,1,2,5,4,37954.5,92083
